PR Number,Commit Count
1,0
2,1
3,1
4,1
5,1
6,1
7,1
9,0
10,1
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,1
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,1
49,1
50,1
52,1
54,0
56,0
57,0
58,0
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,1
114,1
115,0
117,0
118,0
119,1
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,0
132,1
134,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,1
180,0
181,0
185,1
186,0
187,0
188,0
189,0
192,0
194,0
195,0
196,1
197,1
199,0
200,1
201,1
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,1
215,0
216,0
217,0
218,0
219,1
220,0
222,1
223,0
224,0
225,0
226,1
227,0
228,1
229,1
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,1
249,1
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
272,1
274,1
275,0
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,0
306,1
307,1
308,1
