PR Number,Developer Count
1,1
2,2
3,2
4,1
5,1
6,1
7,2
9,1
10,1
12,0
13,2
14,2
15,1
16,0
17,1
18,2
19,0
20,0
21,1
22,2
23,1
24,2
25,2
26,1
27,1
28,0
29,1
30,1
32,2
33,2
34,1
35,0
36,2
37,1
38,2
39,1
40,2
41,1
42,2
43,1
44,1
45,1
46,1
47,0
48,1
49,2
50,2
52,2
54,0
56,1
57,0
58,0
60,0
61,0
62,1
63,1
64,1
65,0
66,2
67,0
68,1
69,0
70,1
71,0
72,0
73,2
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,1
85,2
86,0
87,2
88,1
89,2
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,2
103,1
104,1
105,2
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,0
117,0
118,1
119,2
121,2
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,2
134,1
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,2
145,2
146,1
147,1
148,2
149,1
150,1
151,1
152,0
153,0
154,1
155,2
156,2
157,0
158,0
159,1
160,0
161,1
162,0
163,2
164,1
165,1
166,1
167,1
168,1
169,2
170,1
171,1
172,1
173,2
174,0
175,1
176,0
177,1
178,1
180,0
181,0
185,2
186,1
187,1
188,1
189,1
192,1
194,1
195,1
196,2
197,1
199,1
200,2
201,2
203,2
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,1
213,2
215,1
216,1
217,1
218,1
219,2
220,0
222,3
223,1
224,1
225,0
226,1
227,1
228,2
229,2
230,2
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,2
242,1
243,1
244,2
245,2
246,2
247,1
248,2
249,2
251,1
252,1
253,2
254,2
255,2
256,1
257,1
258,1
259,0
260,1
261,1
262,2
263,2
264,2
265,2
266,2
267,1
268,2
269,2
270,1
272,2
274,2
275,1
276,0
277,2
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,2
288,1
289,1
290,1
291,2
292,1
293,2
294,1
295,1
296,2
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,2
305,0
306,1
307,1
308,1
